117_1	117_2	152_1	152_2
LAP3	0	0.445197917598215	0	0
ALS2	0	0.445197917598215	0	0
CFLAR	0	0	0.659743599265028	0
RBM5	1.25830969563092	0	0	0
FAM214B	59.5413552220615	53.1929090436568	53.7694159028913	55.5801347399123
GCFC2	0	0.445197917598215	0	0
ZFX	0.62915484781546	0	0	0
REX1BD	0	0.445197917598215	0	0
BAIAP2L1	0	0.890395835196429	0	0.66930987946728
KDM7A	0	0.445197917598215	0	0
ALDH3B1	0	0	1.31948719853006	0
ARSD	0	0	0	0.66930987946728
ADIPOR2	0	0.445197917598215	0	0
E2F2	0	0.445197917598215	0	0
PSMB1	0.735704618598439	0	0	0
SPAG9	0	0.36005573134165	0	0
MGST1	0	0.36005573134165	0	0
RPS20	0	0.36005573134165	0	0
CSDE1	0.62915484781546	0	0	0
IYD	0.735704618598439	0	0	0
ZNF207	0.62915484781546	0	0	0
CD9	0	0	0	0.669893171895536
NCAPD2	0.735704618598439	0	0	0
FUZ	0.735704618598439	0	0	0
PRSS3	17.1038744386828	4.21603960352784	70.3113255473108	11.3841008752263
HFE	0	0.36005573134165	0	0
RNF216	0	0.445197917598215	0	0
RABGAP1	57.9329648834344	374.722958806447	103.564263655928	186.80803475519
QPCTL	0	0	0	0.66930987946728
LDAF1	0	0.36005573134165	0	0
EXTL3	0.62915484781546	0	0	0
MVP	0	0	0	0.669893171895536
CLK1	0	0.36005573134165	0	0
ANGEL1	0.62915484781546	0	0	0
GPRC5A	0.735704618598439	0.36005573134165	0.667796876397322	2.00792963840184
CAPN1	0	0	0	0.66930987946728
MATR3	0	0	0.667796876397322	0
ZFP64	0	0	0.659743599265028	0
SERPINB1	1.47140923719688	0.445197917598215	0	0
GRAMD1B	0.62915484781546	0	0	0
RB1CC1	0	0.445197917598215	0	0
ERP44	0	10.4026422362771	0	21.4313318688029
GCLM	0	0.445197917598215	0	0
UBR2	0	0	0.659743599265028	0
PHF20	0.62915484781546	0	0	0
TYMP	0	0	0.659743599265028	0
KPNA6	0	0.36005573134165	0	0
CD44	0.735704618598439	0	0	0
BTN3A1	0	0	0	0.669893171895536
VEZT	0	0	0	0.66930987946728
SNX1	0	0	0.667796876397322	0
MUSK	0	0	0	0.669893171895536
ARID4A	0	0.36005573134165	0	0
IFT88	0	0	0	0.669893171895536
PIAS1	0	0	0.659743599265028	0
TRIO	0.62915484781546	0	0	0
CDH1	0	1.16530938028151	0	0
TNC	4.20112817002468	2.24547657430646	1.99533735205967	4.68808561841224
ADAM28	0	0.445197917598215	0	0
CNTLN	3.25232400986028	0	5.29405534838481	0
HSPA5	253.84357319922	200.075253413748	31.9656640186162	12.0516608774088
DSG2	0	0.445197917598215	0	0
CTPS2	0	0	0	0.669893171895536
TPR	0	0.36005573134165	0	0
MRPS10	0	0.890395835196429	0	0
FAM120A	0	10.2323578637639	0	31.470980060812
H6PD	0.735704618598439	0	0	0
MSMO1	0	1.33559375279464	0	0
TRAPPC3	0	0	0	0.669893171895536
ENTPD2	0	11.3781802577301	0	11.3858507525111
LY75	1.3648594664139	0	0	0
SDCCAG8	0	0.445197917598215	0	0
SYNE2	0	0.36005573134165	0	0
ATP9A	0	0.36005573134165	0	0
GALC	0	0	0	0.669893171895536
NOP58	0	0.445197917598215	0	0
SZRD1	0	0.445197917598215	0	0
CUL1	0	0.445197917598215	0	0
ZFR	0	0	0	0.66930987946728
TRAF1	0.62915484781546	0.805253648939864	0	1.33920305136282
RC3H2	72.8500130200867	60.7468851608365	67.0206608281179	68.2981890346471
IL17RB	0.735704618598439	0	0	0
POLR3E	0	0.36005573134165	0	0
DNAJC25	1.3648594664139	1.16530938028151	0.659743599265028	2.0085129308301
YBX3	0	0	0.667796876397322	0
TNK2	0.735704618598439	0.36005573134165	0	0
EIF4B	0	0	0.659743599265028	0
TNPO3	0	0	0	0.669893171895536
LPAR2	0	0.445197917598215	0	0
SLC12A2	0.62915484781546	0.805253648939864	0	0
HMG20B	0	0.445197917598215	0	0
GNAI3	0.62915484781546	0	0	0
OAT	0	0.36005573134165	0	0
ERBB3	0	0.445197917598215	0	0
ADAT1	0	0.805253648939864	0	0
CYB5R4	0	0.445197917598215	0	0
CDK13	0	0	0.667796876397322	0
ELAVL1	0	0	0	0.669893171895536
NFYC	0	0.36005573134165	0	0
CLDN18	0	0.445197917598215	0	0
ATXN3	0	0.36005573134165	0	0
MSANTD3	0	1.25045156653808	0	4.01702586166019
MTFR1	0	0	0.667796876397322	0
SP100	0	0.36005573134165	0	0
PKM	0	0.445197917598215	0	0.669893171895536
IARS2	0	0.445197917598215	0	0
ROCK1	0.735704618598439	0	0	0
IFI35	0.62915484781546	0	0	0
PRR11	0	0.445197917598215	0	0
POLR1A	0.62915484781546	0	0	0
DNAJA2	0.62915484781546	0	0	0
LRP6	0.62915484781546	0.36005573134165	0	0
ELP1	365.345913911875	315.770346767008	100.772276993354	93.0760703007863
PTPN3	34.2280364311304	47.4515043285058	66.3528639517206	62.9413768291958
SLC44A1	0	12.078804734098	0	38.1687451949109
POLB	0	0	0.659743599265028	0
WIPI1	0	0	1.31948719853006	0
FRMPD1	0	0	0	1.33861975893456
GBA2	17.6366232925977	22.1408782253488	31.2092810937637	25.4454412683218
PABPC1	0	0.36005573134165	0	0
OSBPL3	0	0.445197917598215	0	0
BUD23	0	0.805253648939864	0	0
RDH11	0	0.36005573134165	0	0
ZFYVE26	0	0	0	0.66930987946728
PTPN18	0	0	0	0.66930987946728
ALDH3A2	0	0.890395835196429	0	0
DERL2	0	0.445197917598215	0	0
TMEM38A	0	0	0	0.669893171895536
KDM5A	0	0	0	1.33861975893456
IGF2BP2	0	0.445197917598215	0	0
MAP3K13	0	0	1.33559375279464	0
CLASP1	0	0.445197917598215	0	0
NTN4	0	0	0	0.669893171895536
TIPIN	0	0.445197917598215	0	0
SRI	0	0	0	0.66930987946728
SEMA3A	0	0	0	0.66930987946728
SEMA3C	0	0.36005573134165	0	0
ZNF37A	0.735704618598439	0	0	0
FSCN1	0.62915484781546	0	0	0
ACTB	0	0.36005573134165	0	0
