ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position
ENSG00000001036	FUCA2	6	143494812	143511720
ENSG00000001084	GCLC	6	53497341	53616970
ENSG00000001561	ENPP4	6	46129989	46146688
ENSG00000001629	ANKIB1	7	92245974	92401383
ENSG00000003393	ALS2	2	201700267	201782112
ENSG00000005007	UPF1	19	18831959	18868230
ENSG00000005020	SKAP2	7	26667068	26995239
ENSG00000005206	SPPL2B	19	2328615	2355095
ENSG00000005436	GCFC2	2	75652000	75710985
ENSG00000005483	KMT2E	7	104940943	105115019
ENSG00000005700	IBTK	6	82169986	82247754
ENSG00000005801	ZNF195	11	3339261	3379222
ENSG00000006555	TTC22	1	54779712	54801323
ENSG00000006607	FARP2	2	241356285	241494841
ENSG00000006831	ADIPOR2	12	1688574	1788674
ENSG00000007038	PRSS21	16	2817180	2826304
ENSG00000007062	PROM1	4	15963076	16084378
ENSG00000007080	CCDC124	19	17933015	17943991
ENSG00000007545	CRAMP1	16	1612337	1677908
ENSG00000007866	TEAD3	6	35473597	35497079
ENSG00000007944	MYLIP	6	16129086	16148248
ENSG00000008018	PSMB1	6	170535120	170553307
ENSG00000008083	JARID2	6	15246069	15522042
ENSG00000008394	MGST1	12	16347142	16609259
ENSG00000008988	RPS20	8	56067254	56074510
ENSG00000009307	CSDE1	1	114716913	114758676
ENSG00000009413	REV3L	6	111299028	111483715
ENSG00000009765	IYD	6	150368892	150405969
ENSG00000009844	VTA1	6	142147162	142224685
ENSG00000010017	RANBP9	6	13621498	13711835
ENSG00000010030	ETV7	6	36354091	36387800
ENSG00000010244	ZNF207	17	32350132	32381885
ENSG00000010270	STARD3NL	7	38178245	38230670
ENSG00000010292	NCAPD2	12	6493356	6531955
ENSG00000010704	HFE	6	26087281	26098343
ENSG00000010810	FYN	6	111660332	111873452
ENSG00000010818	HIVEP2	6	142751469	142956698
ENSG00000011275	RNF216	7	5620047	5781696
ENSG00000012048	BRCA1	17	43044295	43170245
ENSG00000013375	PGM3	6	83161150	83193936
ENSG00000013392	RWDD2A	6	83193357	83198935
ENSG00000014123	UFL1	6	96521595	96555276
ENSG00000016402	IL20RA	6	136999971	137045180
ENSG00000018610	STEEP1	X	119538149	119565409
ENSG00000020922	MRE11	11	94415570	94493885
ENSG00000021355	SERPINB1	6	2832332	2841959
ENSG00000023041	ZDHHC6	10	112424428	112447572
ENSG00000023909	GCLM	1	93885199	93909456
ENSG00000024048	UBR2	6	42564029	42693505
ENSG00000024862	CCDC28A	6	138773769	138793319
ENSG00000025039	RRAGD	6	89364616	89412273
ENSG00000025156	HSF2	6	122399551	122433119
ENSG00000025293	PHF20	20	35771974	35950370
ENSG00000025796	SEC63	6	107867756	107958208
ENSG00000026297	RNASET2	6	166922113	166957191
ENSG00000026652	AGPAT4	6	161129967	161274061
ENSG00000026950	BTN3A1	6	26402237	26415208
ENSG00000027697	IFNGR1	6	137197485	137219449
ENSG00000028528	SNX1	15	64094123	64146090
ENSG00000028839	TBPL1	6	133952170	133990432
ENSG00000029363	BCLAF1	6	136256627	136289851
ENSG00000029639	TFB1M	6	155256134	155314493
ENSG00000029725	RABEP1	17	5282265	5386340
ENSG00000030110	BAK1	6	33572547	33580293
ENSG00000031691	CENPQ	6	49463370	49493107
ENSG00000032389	EIPR1	2	3188925	3377830
ENSG00000033867	SLC4A7	3	27372721	27484420
ENSG00000034693	PEX3	6	143450805	143490616
ENSG00000036054	TBC1D23	3	100260992	100325251
ENSG00000041802	LSG1	3	194640791	194672463
ENSG00000044090	CUL7	6	43037617	43053943
ENSG00000044115	CTNNA1	5	138610967	138935034
ENSG00000046604	DSG2	18	31498177	31549008
ENSG00000047056	WDR37	10	1049538	1132384
ENSG00000047410	TPR	1	186311652	186375693
ENSG00000047579	DTNBP1	6	15522807	15663058
ENSG00000047932	GOPC	6	117560269	117602542
ENSG00000047936	ROS1	6	117287353	117425942
ENSG00000048028	USP28	11	113797874	113875570
ENSG00000048052	HDAC9	7	18086949	19002416
ENSG00000048544	MRPS10	6	42206807	42217861
ENSG00000048991	R3HDM1	2	135531455	135725270
ENSG00000049192	ADAMTS6	5	65148738	65481920
ENSG00000049618	ARID1B	6	156776020	157210779
ENSG00000050393	MCUR1	6	13786557	13814568
ENSG00000051596	THOC3	5	175917873	176034680
ENSG00000051620	HEBP2	6	138403531	138422197
ENSG00000052126	PLEKHA5	12	19129733	19376400
ENSG00000053328	METTL24	6	110243940	110358349
ENSG00000053501	USE1	19	17215346	17219829
ENSG00000054523	KIF1B	1	10210570	10381603
ENSG00000054598	FOXC1	6	1609915	1613897
ENSG00000055208	TAB2	6	149218641	149411613
ENSG00000055211	GINM1	6	149566294	149591748
ENSG00000055332	EIF2AK2	2	37099210	37157522
ENSG00000055732	MCOLN3	1	85018082	85048500
ENSG00000056277	ZNF280C	X	130202707	130268899
ENSG00000056972	TRAF3IP2	6	111555381	111606906
ENSG00000057663	ATG5	6	106045423	106325791
ENSG00000058799	YIPF1	1	53851719	53889798
ENSG00000060491	OGFR	20	62804835	62814000
ENSG00000060688	SNRNP40	1	31259568	31296788
ENSG00000060762	MPC1	6	166364919	166383013
ENSG00000061936	SFSWAP	12	131711081	131799738
ENSG00000062716	VMP1	17	59707192	59842255
ENSG00000063177	RPL18	19	48615328	48619184
ENSG00000064012	CASP8	2	201233443	201287711
ENSG00000064042	LIMCH1	4	41359607	41700044
ENSG00000064313	TAF2	8	119730774	119832863
ENSG00000064419	TNPO3	7	128954180	129055173
ENSG00000064651	SLC12A2	5	128083766	128189677
ENSG00000064933	PMS1	2	189784085	189877629
ENSG00000064989	CALCRL	2	187341964	187448460
ENSG00000064995	TAF11	6	34877462	34889192
ENSG00000064999	ANKS1A	6	34889255	35091406
ENSG00000065060	UHRF1BP1	6	34792083	34877514
ENSG00000065308	TRAM2	6	52497408	52577060
ENSG00000065361	ERBB3	12	56076799	56103505
ENSG00000065457	ADAT1	16	75596868	75623300
ENSG00000065491	TBC1D22B	6	37257772	37332970
ENSG00000065526	SPEN	1	15836095	15940456
ENSG00000065609	SNAP91	6	83552880	83709691
ENSG00000065615	CYB5R4	6	83859656	83967423
ENSG00000065621	GSTO2	10	104268873	104304950
ENSG00000065833	ME1	6	83210402	83431051
ENSG00000065923	SLC9A7	X	46599251	46759118
ENSG00000066405	CLDN18	3	137998735	138033655
ENSG00000066651	TRMT11	6	125986479	126203817
ENSG00000066933	MYO9A	15	71822291	72118577
ENSG00000067225	PKM	15	72199029	72231819
ENSG00000067646	ZFY	Y	2935281	2982506
ENSG00000067829	IDH3G	X	153785766	153794512
ENSG00000068654	POLR1A	2	86020216	86106155
ENSG00000068697	LAPTM4A	2	20032650	20051628
ENSG00000068878	PSME4	2	53864069	53970993
ENSG00000069122	ADGRF5	6	46852522	46954943
ENSG00000070061	ELP1	9	108866898	108934328
