seqnames	start	end	width	strand	Conc	Conc_haplotype1	Conc_haplotype2	Fold	pvalue	FDR	new_fdr
chr6	160346957	160351399	4443	*	7.9	0.26	8.9	-8.65	5.85e-34	8.46e-31	9.336600000000002e-31
chr6	1604139	1607162	3024	*	5.47	6.46	-0.9	7.36	5.91e-21	1.7100000000000001e-18	4.71618e-18
chr6	31257405	31260391	2987	*	4.93	5.91	-0.36	6.27	3.57e-20	8.599999999999999e-18	1.89924e-17
chr6	53793061	53794927	1867	*	6.1	7.09	-0.63	7.72	4.31e-18	6.24e-16	1.7196900000000001e-15
chr6	53826577	53829805	3229	*	6.61	7.6	-0.9	8.51	1.81e-17	2.38e-15	5.777520000000001e-15
chr6	170294620	170297714	3095	*	4.9	-0.7	5.88	-6.58	4.59e-17	5.11e-15	1.22094e-14
chr6	53733136	53735299	2164	*	5.87	6.86	-0.62	7.49	1.6e-16	1.54e-14	3.6480000000000006e-14
chr6	128499722	128501215	1494	*	5.35	-0.85	6.34	-7.19	5.52e-16	4.99e-14	1.10124e-13
chr6	26125821	26128746	2926	*	6.61	7.61	-0.39	8.0	5.99e-15	5.090000000000001e-13	1.0622266666666668e-12
chr6	1038057	1040723	2667	*	5.62	6.61	-0.62	7.24	1.51e-14	1.15e-12	2.40996e-12
chr6	167796143	167797268	1126	*	3.95	4.92	-0.9	5.83	1.78e-14	1.28e-12	2.582618181818182e-12
chr6	27831234	27831792	559	*	5.14	6.13	-0.71	6.84	1.59e-13	1.05e-11	2.1147000000000003e-11
chr6	4018869	4020791	1923	*	5.18	6.17	-0.76	6.93	1.85e-13	1.16e-11	2.271230769230769e-11
chr6	53854443	53855905	1463	*	4.53	5.51	-0.9	6.41	3.4899999999999993e-13	1.94e-11	3.978599999999999e-11
chr6	42141522	42142516	995	*	5.77	6.76	-0.9	7.67	5.080000000000001e-13	2.7199999999999997e-11	5.405120000000001e-11
chr6	96521730	96522463	734	*	5.63	6.62	-0.9	7.53	5.6e-13	2.89e-11	5.586000000000001e-11
chr6	21594086	21595027	942	*	5.34	6.33	-0.9	7.24	1.15e-12	5.75e-11	1.0796470588235294e-10
chr6	6736845	6737907	1063	*	4.47	5.45	-0.9	6.35	1.67e-12	8.06e-11	1.4807333333333333e-10
chr6	26249153	26249875	723	*	5.33	6.32	-0.9	7.22	2.45e-12	1.12e-10	1.9710600000000005e-10
chr6	43094031	43094611	581	*	4.04	-0.85	5.02	-5.87	2.4700000000000006e-12	1.12e-10	1.9710600000000005e-10
chr6	99350773	99353211	2439	*	3.1	4.05	-0.9	4.96	3.4400000000000003e-12	1.51e-10	2.6144000000000003e-10
chr6	53795409	53796232	824	*	5.27	6.26	-0.9	7.16	4.6500000000000006e-12	1.9800000000000001e-10	3.3724173913043487e-10
chr6	137651181	137653440	2260	*	4.8	5.79	-0.9	6.69	4.860000000000001e-12	2.01e-10	3.3724173913043487e-10
chr6	1054285	1055807	1523	*	4.41	-0.85	5.39	-6.24	5.56e-12	2.23e-10	3.6974e-10
chr6	26667095	26669369	2275	*	3.51	4.47	-0.9	5.38	8.55e-12	3.34e-10	5.458320000000001e-10
chr6	47042687	47044272	1586	*	5.05	-0.71	6.03	-6.74	1.3800000000000002e-11	5.23e-10	8.471076923076925e-10
chr6	149863246	149863999	754	*	4.71	5.69	-0.9	6.6	2.0600000000000002e-11	7.649999999999999e-10	1.217688888888889e-09
chr6	1041070	1042454	1385	*	4.51	5.49	-0.9	6.4	2.15e-11	7.779999999999999e-10	1.2255000000000002e-09
chr6	13712198	13713007	810	*	4.59	5.57	-0.9	6.48	2.2300000000000003e-11	7.88e-10	1.2272689655172417e-09
chr6	87968112	87968855	744	*	3.01	-0.85	3.96	-4.81	9.640000000000001e-11	3.17e-09	5.1284800000000005e-09
chr6	142014853	142015495	643	*	4.63	-0.58	5.61	-6.19	1.0699999999999999e-10	3.42e-09	5.508774193548387e-09
chr6	127266575	127267202	628	*	3.4	4.36	-0.9	5.26	1.5699999999999997e-10	4.95e-09	7.830374999999998e-09
chr6	169340663	169341061	399	*	3.61	4.58	-0.76	5.34	2.6000000000000003e-10	8.009999999999999e-09	1.2574545454545457e-08
chr6	42138861	42139589	729	*	4.09	-0.38	5.05	-5.43	4.94e-10	1.49e-08	2.3188941176470587e-08
